0,164,593
0.0166667,169,597.75
0.0333333,171,603
0.05,175,608
0.0666667,181,613
0.0833333,184,619
0.1,188,624
0.116667,194,629
0.133333,198,636
0.15,201,639
0.166667,206,642
0.183333,209,646
0.2,214,651
0.216667,218,655
0.233333,223,659
0.25,227,660
0.266667,231,667
0.283333,236,671
0.3,238,673
0.316667,243,677
0.333333,246,678
0.35,250,681
0.366667,255,685
0.383333,261,687
0.4,264,689
0.416667,269,693
0.433333,273,693
0.45,277,696
0.466667,281,698
0.483333,284,700
0.5,287,701
0.516667,292,702
0.533333,296,704
0.55,301,705
0.566667,304,708
0.583333,309,708
0.6,313,709
0.616667,317.143,707.714
0.633333,320,709
0.65,323,710
0.666667,328,710
0.683333,332,710
0.7,335,710
0.716667,341,711
0.733333,345,710
0.75,349,708
0.766667,353,708
0.783333,358,706
0.8,360,708
0.816667,365,706
0.833333,369,705
0.85,374,702
0.866667,376,702
0.883333,381,699
0.9,386,700
0.916667,389.182,696
0.933333,392,694
0.95,397,694
0.966667,401,691
0.983333,404,688
1,408,685
1.01667,412,682
1.03333,416,682
1.05,420,678
1.06667,425,674
1.08333,429,671
1.1,433,669
1.11667,434,663
1.13333,439.182,660
1.15,444,657
1.16667,448,652
1.18333,453.182,649
1.2,455,644
1.21667,460,640
1.23333,462,636
1.25,468,632
1.26667,471,627
1.28333,475,622
1.3,479,616
1.31667,483,611
1.33333,486,604
1.35,490,601
1.36667,494,595
1.38333,498,590
1.4,501.857,585.286
1.41667,506,577
1.43333,508,572
1.45,515,565
1.46667,516,559
1.48333,521,552
1.5,524,546
1.51667,525,540
1.53333,533,534
1.55,537,527
1.56667,541,518
1.58333,543,512
1.6,547.857,505.286
1.61667,551.143,497.714
1.63333,556,489
1.65,560,483
1.66667,563,474
1.68333,567,466
1.7,570,457
1.71667,574,450
1.73333,578,441
1.75,582,434
1.76667,585.143,423.714
1.78333,588,414
1.8,593,406
1.81667,597,397
1.83333,599,387
1.85,603,378
1.86667,608,369
1.88333,611,359
1.9,616,351
1.91667,619,339
1.93333,623,330
1.95,626,320
1.96667,630,311
1.98333,634,300
2,638,289.8
2.01667,642,279
2.03333,643,268
2.05,648,257
2.06667,652,247
2.08333,655,237
2.1,660,224
2.11667,664,213.2
2.13333,668,201
2.15,672,190
2.16667,674,179
2.18333,678,167
2.2,681,153.8
2.21667,685,143
2.23333,689.143,129.714
2.25,692,119
2.26667,695.143,105.286
2.28333,700,91
2.3,703,80
2.31667,706,68
2.33333,710,55.2
2.35,713.818,41
2.36667,718,29.25
2.38333,723,15
